Неделя с;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «ремонт ступицы», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
19.08.2019;803;0,000049;
26.08.2019;754;0,000046;
02.09.2019;650;0,000038;
09.09.2019;705;0,000039;
16.09.2019;703;0,000037;
23.09.2019;642;0,000033;
30.09.2019;787;0,000040;
07.10.2019;720;0,000036;
14.10.2019;794;0,000039;
21.10.2019;860;0,000043;
28.10.2019;853;0,000044;
04.11.2019;967;0,000048;
11.11.2019;983;0,000048;
18.11.2019;857;0,000040;
25.11.2019;833;0,000038;
02.12.2019;809;0,000037;
09.12.2019;949;0,000044;
16.12.2019;1 035;0,000048;
23.12.2019;916;0,000046;
30.12.2019;742;0,000042;
06.01.2020;909;0,000045;
13.01.2020;1 051;0,000045;
20.01.2020;799;0,000033;
27.01.2020;842;0,000037;
03.02.2020;758;0,000034;
10.02.2020;912;0,000040;
17.02.2020;890;0,000040;
24.02.2020;900;0,000040;
02.03.2020;897;0,000041;
09.03.2020;1 012;0,000046;
16.03.2020;1 056;0,000047;
23.03.2020;1 059;0,000047;
30.03.2020;877;0,000037;
06.04.2020;1 016;0,000036;
13.04.2020;1 182;0,000041;
20.04.2020;1 103;0,000038;
27.04.2020;1 037;0,000040;
04.05.2020;931;0,000040;
11.05.2020;1 135;0,000043;
18.05.2020;1 185;0,000045;
25.05.2020;1 134;0,000049;
01.06.2020;1 092;0,000049;
08.06.2020;1 009;0,000049;
15.06.2020;1 243;0,000060;
22.06.2020;1 032;0,000051;
29.06.2020;930;0,000047;
06.07.2020;970;0,000051;
13.07.2020;861;0,000045;
20.07.2020;773;0,000041;
27.07.2020;717;0,000038;
03.08.2020;702;0,000037;
10.08.2020;815;0,000043;
17.08.2020;834;0,000044;
24.08.2020;836;0,000043;
31.08.2020;779;0,000039;
07.09.2020;628;0,000029;
14.09.2020;769;0,000034;
21.09.2020;730;0,000032;
28.09.2020;769;0,000033;
05.10.2020;737;0,000031;
12.10.2020;842;0,000034;
19.10.2020;738;0,000029;
26.10.2020;841;0,000033;
02.11.2020;777;0,000031;
09.11.2020;907;0,000033;
16.11.2020;718;0,000026;
23.11.2020;789;0,000028;
30.11.2020;715;0,000027;
07.12.2020;578;0,000022;
14.12.2020;472;0,000018;
21.12.2020;495;0,000020;
28.12.2020;333;0,000016;
04.01.2021;544;0,000025;
11.01.2021;547;0,000022;
18.01.2021;540;0,000021;
25.01.2021;686;0,000027;
01.02.2021;579;0,000023;
08.02.2021;602;0,000023;
15.02.2021;651;0,000025;
22.02.2021;551;0,000022;
01.03.2021;754;0,000031;
08.03.2021;646;0,000026;
15.03.2021;801;0,000032;
22.03.2021;850;0,000035;
29.03.2021;914;0,000037;
05.04.2021;1 055;0,000041;
12.04.2021;1 259;0,000050;
19.04.2021;1 147;0,000045;
26.04.2021;1 045;0,000044;
03.05.2021;1 039;0,000047;
10.05.2021;986;0,000041;
17.05.2021;925;0,000037;
24.05.2021;951;0,000040;
31.05.2021;1 045;0,000044;
07.06.2021;1 016;0,000043;
14.06.2021;1 020;0,000045;
21.06.2021;909;0,000040;
28.06.2021;764;0,000034;
05.07.2021;862;0,000039;
12.07.2021;774;0,000035;
19.07.2021;865;0,000039;
26.07.2021;836;0,000037;
02.08.2021;837;0,000037;
09.08.2021;798;0,000035;
16.08.2021;788;0,000035;
23.08.2021;813;0,000035;
30.08.2021;752;0,000031;
06.09.2021;798;0,000033;
13.09.2021;754;0,000030;
20.09.2021;673;0,000026;
27.09.2021;819;0,000032;
04.10.2021;716;0,000028;
11.10.2021;779;0,000029;
18.10.2021;832;0,000031;
25.10.2021;846;0,000033;
01.11.2021;804;0,000032;
08.11.2021;783;0,000028;
15.11.2021;881;0,000031;
22.11.2021;686;0,000024;
29.11.2021;711;0,000026;
06.12.2021;599;0,000021;
13.12.2021;615;0,000022;
20.12.2021;521;0,000019;
27.12.2021;441;0,000019;
03.01.2022;591;0,000025;
10.01.2022;578;0,000021;
17.01.2022;662;0,000023;
24.01.2022;638;0,000022;
31.01.2022;644;0,000021;
07.02.2022;699;0,000023;
14.02.2022;680;0,000023;
21.02.2022;580;0,000020;
28.02.2022;713;0,000024;
07.03.2022;905;0,000032;
14.03.2022;1 084;0,000037;
21.03.2022;1 166;0,000041;
28.03.2022;1 063;0,000037;
04.04.2022;1 299;0,000045;
11.04.2022;1 372;0,000049;
18.04.2022;1 269;0,000045;
25.04.2022;1 311;0,000049;
02.05.2022;1 212;0,000048;
09.05.2022;1 139;0,000042;
16.05.2022;1 160;0,000040;
23.05.2022;1 188;0,000043;
30.05.2022;1 163;0,000045;
06.06.2022;1 106;0,000044;
13.06.2022;1 221;0,000049;
20.06.2022;1 024;0,000040;
27.06.2022;896;0,000037;
04.07.2022;903;0,000038;
11.07.2022;872;0,000036;
18.07.2022;875;0,000037;
25.07.2022;859;0,000036;
01.08.2022;901;0,000038;
08.08.2022;1 016;0,000042;
15.08.2022;847;0,000034;
22.08.2022;1 085;0,000044;
29.08.2022;919;0,000036;
05.09.2022;1 107;0,000040;
12.09.2022;683;0,000024;
19.09.2022;723;0,000026;
26.09.2022;732;0,000026;
03.10.2022;850;0,000031;
10.10.2022;745;0,000027;
17.10.2022;890;0,000030;
24.10.2022;903;0,000032;
31.10.2022;1 105;0,000040;
07.11.2022;855;0,000029;
14.11.2022;794;0,000026;
21.11.2022;649;0,000021;
28.11.2022;602;0,000020;
05.12.2022;592;0,000019;
12.12.2022;617;0,000021;
19.12.2022;580;0,000020;
26.12.2022;507;0,000021;
02.01.2023;510;0,000021;
09.01.2023;655;0,000023;
16.01.2023;675;0,000023;
23.01.2023;701;0,000024;
30.01.2023;749;0,000026;
06.02.2023;724;0,000025;
13.02.2023;621;0,000021;
20.02.2023;600;0,000022;
27.02.2023;750;0,000026;
06.03.2023;741;0,000027;
13.03.2023;832;0,000029;
20.03.2023;974;0,000035;
27.03.2023;969;0,000035;
03.04.2023;1 196;0,000043;
10.04.2023;1 164;0,000043;
17.04.2023;1 179;0,000043;
24.04.2023;1 061;0,000040;
01.05.2023;896;0,000035;
08.05.2023;837;0,000033;
15.05.2023;962;0,000037;
22.05.2023;981;0,000039;
29.05.2023;847;0,000034;
05.06.2023;956;0,000039;
12.06.2023;867;0,000037;
19.06.2023;904;0,000037;
26.06.2023;855;0,000036;
03.07.2023;783;0,000034;
10.07.2023;701;0,000030;
17.07.2023;722;0,000031;
24.07.2023;789;0,000034;
31.07.2023;636;0,000028;
07.08.2023;724;0,000031;
14.08.2023;733;0,000032;
21.08.2023;645;0,000028;
28.08.2023;761;0,000034;
04.09.2023;724;0,000029;
11.09.2023;704;0,000027;
18.09.2023;726;0,000028;
25.09.2023;809;0,000031;
02.10.2023;811;0,000030;
09.10.2023;755;0,000028;
16.10.2023;872;0,000031;
23.10.2023;920;0,000034;
30.10.2023;924;0,000036;
06.11.2023;759;0,000028;
13.11.2023;768;0,000027;
20.11.2023;723;0,000025;
27.11.2023;578;0,000020;
04.12.2023;497;0,000017;
11.12.2023;441;0,000015;
18.12.2023;570;0,000020;
25.12.2023;445;0,000018;
01.01.2024;375;0,000016;
08.01.2024;584;0,000021;
15.01.2024;546;0,000019;
22.01.2024;555;0,000019;
29.01.2024;744;0,000026;
05.02.2024;730;0,000025;
12.02.2024;656;0,000022;
19.02.2024;535;0,000019;
